City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
28,Puerto Ayora,-0.7393,-90.3518,78.76,81,66,7.0,broken clouds,EC,2021-10-10 19:47:18
29,Auki,-8.7676,160.7034,77.34,85,100,3.2,overcast clouds,SB,2021-10-10 19:47:18
30,Ponta Do Sol,32.6667,-17.1,73.0,54,19,4.25,few clouds,PT,2021-10-10 19:47:19
31,Port Elizabeth,-33.918,25.5701,61.11,77,40,18.41,scattered clouds,ZA,2021-10-10 19:45:01
32,Tuktoyaktuk,69.4541,-133.0374,30.2,86,90,9.22,light snow,CA,2021-10-10 19:47:19
33,Coquimbo,-29.9533,-71.3436,65.93,36,0,14.97,clear sky,CL,2021-10-10 19:46:17
34,Mataura,-46.1927,168.8643,48.47,83,100,2.13,light rain,NZ,2021-10-10 19:47:20
35,Kapaa,22.0752,-159.319,80.92,71,90,5.01,light rain,US,2021-10-10 19:47:20
36,San Andres,12.5847,-81.7006,87.82,74,40,13.8,scattered clouds,CO,2021-10-10 19:47:20
37,Mahebourg,-20.4081,57.7,72.25,100,75,13.8,light rain,MU,2021-10-10 19:47:20
38,Mar Del Plata,-38.0023,-57.5575,60.82,28,20,15.01,few clouds,AR,2021-10-10 19:47:21
39,Cabinda,-5.55,12.2,76.24,79,100,9.91,overcast clouds,AO,2021-10-10 19:47:21
40,Khatanga,71.9667,102.5,16.77,96,100,4.85,light snow,RU,2021-10-10 19:47:21
41,Kamyshlov,56.8428,62.7111,29.62,56,31,0.4,scattered clouds,RU,2021-10-10 19:47:21
42,Busselton,-33.65,115.3333,54.05,75,94,14.54,overcast clouds,AU,2021-10-10 19:47:22
43,Cidreira,-30.1811,-50.2056,65.62,77,100,18.95,overcast clouds,BR,2021-10-10 19:47:22
44,Grand Gaube,-20.0064,57.6608,72.37,90,98,5.99,light rain,MU,2021-10-10 19:47:22
45,Shanghai,31.2222,121.4581,73.92,89,75,3.0,light rain,CN,2021-10-10 19:45:22
46,Codrington,-38.2667,141.9667,47.21,70,76,10.54,broken clouds,AU,2021-10-10 19:42:39
47,Tura,25.5198,90.2201,73.96,86,5,3.56,clear sky,IN,2021-10-10 19:47:23
48,Aulla,44.2146,9.9678,57.56,71,0,6.15,clear sky,IT,2021-10-10 19:47:23
49,Dingle,10.9995,122.6711,76.57,92,93,9.26,moderate rain,PH,2021-10-10 19:42:30
50,Ulladulla,-35.35,150.4667,47.3,83,100,10.16,overcast clouds,AU,2021-10-10 19:47:23
51,Hilo,19.7297,-155.09,77.29,88,90,5.75,heavy intensity rain,US,2021-10-10 19:47:24
52,Carnarvon,-24.8667,113.6333,64.47,77,0,12.66,clear sky,AU,2021-10-10 19:43:06
53,Dikson,73.5069,80.5464,29.89,66,100,22.97,light snow,RU,2021-10-10 19:47:24
54,Iqaluit,63.7506,-68.5145,40.73,70,20,4.0,few clouds,CA,2021-10-10 19:47:24
55,Kafanchan,9.5833,8.3,70.59,97,93,3.6,light rain,NG,2021-10-10 19:47:25
56,Castro,-24.7911,-50.0119,58.26,92,100,9.64,overcast clouds,BR,2021-10-10 19:47:25
57,Ushuaia,-54.8,-68.3,51.46,32,20,26.46,light rain,AR,2021-10-10 19:47:25
58,Jaque,7.5175,-78.1703,79.56,87,97,8.59,moderate rain,PA,2021-10-10 19:47:25
59,Inverness,57.4791,-4.224,53.58,83,75,3.0,broken clouds,GB,2021-10-10 19:47:26
60,Bredasdorp,-34.5322,20.0403,60.12,77,54,11.5,broken clouds,ZA,2021-10-10 19:47:26
61,Jamestown,42.097,-79.2353,73.02,67,40,7.0,scattered clouds,US,2021-10-10 19:46:35
62,Labuan,5.2767,115.2417,80.96,88,20,3.0,few clouds,MY,2021-10-10 19:47:26
63,Shar,49.5886,81.0453,48.72,41,100,16.8,overcast clouds,KZ,2021-10-10 19:47:27
64,San Cristobal,7.7669,-72.225,82.58,84,81,1.3,broken clouds,VE,2021-10-10 19:47:27
65,Butaritari,3.0707,172.7902,81.23,70,65,11.32,broken clouds,KI,2021-10-10 19:47:28
66,Barrow,71.2906,-156.7887,28.42,74,75,9.22,broken clouds,US,2021-10-10 19:47:28
67,Ketchikan,55.3422,-131.6461,46.87,87,90,3.44,light rain,US,2021-10-10 19:47:28
68,Port-Gentil,-0.7193,8.7815,76.96,88,40,5.75,scattered clouds,GA,2021-10-10 19:47:28
69,Port Alfred,-33.5906,26.891,60.87,68,11,24.83,few clouds,ZA,2021-10-10 19:47:29
70,Acarau,-2.8856,-40.12,81.45,73,7,20.38,clear sky,BR,2021-10-10 19:47:29
71,Bafq,31.6128,55.4107,60.85,26,0,7.96,clear sky,IR,2021-10-10 19:47:29
72,Sibolga,1.7427,98.7792,75.76,89,100,3.04,overcast clouds,ID,2021-10-10 19:47:30
73,Lata,40.1629,-8.3327,69.08,50,16,4.34,few clouds,PT,2021-10-10 19:47:30
74,Ilulissat,69.2167,-51.1,32.02,80,20,1.14,few clouds,GL,2021-10-10 19:47:30
75,Chokurdakh,70.6333,147.9167,16.18,90,100,5.7,overcast clouds,RU,2021-10-10 19:47:31
76,Torbay,47.6666,-52.7314,48.27,73,75,21.85,broken clouds,CA,2021-10-10 19:47:31
77,Kodinsk,58.6881,99.1844,30.81,90,100,7.36,overcast clouds,RU,2021-10-10 19:47:31
78,Longyearbyen,78.2186,15.6401,22.84,80,75,6.91,broken clouds,SJ,2021-10-10 19:47:32
79,Bengkulu,-3.8004,102.2655,75.52,90,94,4.16,overcast clouds,ID,2021-10-10 19:44:38
80,Maicao,11.3832,-72.2432,88.05,59,95,8.39,overcast clouds,CO,2021-10-10 19:47:32
81,Aklavik,68.2191,-135.0107,30.92,86,75,5.75,broken clouds,CA,2021-10-10 19:47:32
82,Estelle,29.8458,-90.1067,87.06,63,40,11.5,scattered clouds,US,2021-10-10 19:47:33
83,Ancud,-41.8697,-73.8203,56.73,76,100,7.96,overcast clouds,CL,2021-10-10 19:46:34
84,Semey,50.4111,80.2275,47.62,56,100,5.26,overcast clouds,KZ,2021-10-10 19:47:33
85,Paamiut,61.994,-49.6678,36.46,60,100,8.34,overcast clouds,GL,2021-10-10 19:47:33
86,Agua Verde,22.9,-106.05,92.03,70,93,7.99,overcast clouds,MX,2021-10-10 19:47:34
87,Ozinki,51.1786,49.6769,46.0,52,20,3.69,few clouds,RU,2021-10-10 19:47:34
88,Catia La Mar,10.6038,-67.0303,89.8,62,20,3.44,few clouds,VE,2021-10-10 19:47:34
