City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
147,Yatou,CN,2021-09-02 01:05:11,37.15,122.3833,74.32,73,21,4.79
148,Tasiilaq,GL,2021-09-02 01:09:04,65.6145,-37.6368,46.56,98,100,13.24
149,Sai Buri,TH,2021-09-02 01:09:04,6.7013,101.6168,79.09,80,100,5.46
150,Upernavik,GL,2021-09-02 01:09:05,72.7868,-56.1549,34.05,66,6,12.33
151,Ulan-Ude,RU,2021-09-02 01:09:05,51.8261,107.6098,60.69,82,40,4.47
152,Sao Miguel Do Araguaia,BR,2021-09-02 01:09:05,-13.275,-50.1628,84.61,29,98,1.81
153,Butaritari,KI,2021-09-02 01:09:06,3.0707,172.7902,83.5,69,12,10.27
154,Kahului,US,2021-09-02 01:09:06,20.8947,-156.47,89.62,55,20,19.57
155,Jacareacanga,BR,2021-09-02 01:09:06,-6.2222,-57.7528,70.81,97,40,1.57
156,Hainburg,DE,2021-09-02 01:09:06,50.0716,8.9524,56.32,86,0,2.91
157,Lipin Bor,RU,2021-09-02 01:09:07,60.2622,37.9763,43.09,92,21,7.78
158,Assiniboia,CA,2021-09-02 01:09:07,49.6334,-105.9845,68.94,26,0,10.56
159,Tchollire,CM,2021-09-02 01:09:07,8.4022,14.1698,71.38,97,100,1.72
160,Lagos,NG,2021-09-02 01:07:36,6.5833,3.75,76.95,92,100,5.7
161,Ancud,CL,2021-09-02 01:09:08,-41.8697,-73.8203,50.43,93,95,3.36
162,Axim,GH,2021-09-02 01:09:08,4.8699,-2.2405,76.26,90,91,9.8
163,Pisco,PE,2021-09-02 01:09:08,-13.7,-76.2167,62.65,77,90,13.8
164,Stornoway,GB,2021-09-02 01:09:09,58.2093,-6.3865,55.92,94,90,12.66
165,Ammon,US,2021-09-02 01:09:09,43.4696,-111.9666,75.25,25,1,8.05
166,Yarada,IN,2021-09-02 01:09:09,17.65,83.2667,79.12,100,40,2.3
167,Sinazongwe,ZM,2021-09-02 01:09:10,-17.2614,27.4618,70.65,47,0,1.66
168,Xiangfan,CN,2021-09-02 01:09:10,32.0422,112.1448,70.83,87,100,2.64
169,Beringovskiy,RU,2021-09-02 01:09:10,63.05,179.3167,48.67,79,98,5.61
170,Qaanaaq,GL,2021-09-02 01:09:10,77.484,-69.3632,30.67,73,100,8.52
171,Matamoros,MX,2021-09-02 01:09:11,25.5333,-103.25,95.11,37,75,0.0
172,Aksarka,RU,2021-09-02 01:09:11,66.5606,67.7975,41.41,79,100,7.18
173,Hokitika,NZ,2021-09-02 01:09:11,-42.7167,170.9667,55.35,70,8,5.21
174,Flinders,AU,2021-09-02 01:09:11,-34.5833,150.8552,69.26,76,99,10.13
175,Saint George,US,2021-09-02 01:09:12,37.1041,-113.5841,85.62,44,1,1.99
176,Ribeira Grande,PT,2021-09-02 01:09:12,38.5167,-28.7,67.64,85,100,23.33
177,New Norfolk,AU,2021-09-02 01:09:12,-42.7826,147.0587,75.7,35,1,11.21
178,Garden City,US,2021-09-02 01:09:13,42.3256,-83.331,70.05,54,20,1.01
179,Rabo De Peixe,PT,2021-09-02 01:09:13,37.8,-25.5833,69.31,83,20,8.05
180,Avezzano,IT,2021-09-02 01:09:13,42.0402,13.4388,63.52,95,9,3.51
181,Abu Samrah,SY,2021-09-02 01:09:13,35.3029,37.1841,70.7,59,0,5.77
