City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
231,Pine Bluff,US,85.95,clear sky,34.2284,-92.0032,"Holiday Inn Express & Suites Pine Bluff/Pines Mall, an IHG Hotel"
232,Boundiali,CI,76.6,moderate rain,9.5217,-6.4869,Hotel Paysan Boundiali
237,Tomohon,ID,67.14,overcast clouds,1.3346,124.8392,Gardenia Country Inn
239,Nishihara,JP,82.45,broken clouds,26.1842,127.7558,Minshuku Agaihama
244,Puerto Madryn,AR,76.66,few clouds,-42.7692,-65.0385,Hotel Tolosa
246,Harper,LR,77.86,light rain,4.375,-7.7169,Screensaver
247,Pisco,PE,68.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
249,Ambalavao,MG,64.53,broken clouds,-21.8333,46.9333,Hôtel Le Tropik
250,Porto Novo,BJ,80.42,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
252,Souillac,MU,72.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
255,Marion,US,85.42,few clouds,39.7684,-86.1555,Hilton Garden Inn Indianapolis Downtown
257,Salima,MW,78.78,few clouds,-13.7804,34.4587,YAMIKANI LODGE
258,Turayf,SA,75.45,clear sky,31.6725,38.6637,Turaif
261,Victoria,HK,80.65,light rain,22.2855,114.1577,Mini Hotel Central
262,Faya,SA,69.91,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
264,Poum,NC,73.27,few clouds,-20.2333,164.0167,Gîte kajeon
267,Kahului,US,80.83,light rain,20.8947,-156.47,Maui Seaside Hotel
269,San Fernando,PH,81.14,overcast clouds,15.0286,120.6898,Maharlika Hostel
270,Kanniyakumari,IN,80.22,overcast clouds,8.0833,77.5667,Sparsa
271,Samarai,PG,78.91,overcast clouds,-10.6167,150.6667,Nuli Sapi
272,Nabire,ID,75.67,moderate rain,-3.3667,135.4833,Hotel Nusantara Nabire
273,Akot,IN,74.79,few clouds,21.0964,77.0586,Shri PRASAD
275,Namibe,AO,68.86,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
276,Constitucion,CL,60.89,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
